group,dataset,split,epochs,lr,setting,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
progressive_top,tedlium,test,1,9em5,freeze-subsampling-through-layer-1,1,0.0590466064,,0.0085061138,0.0169059011,0.0336345915,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-1_1.pkl
progressive_top,tedlium,test,1,9em5,train-all,1,0.0592947014,,0.0086833245,0.0164805954,0.0341307815,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-train-all_1.pkl
train_only,tedlium,test,1,9em5,train-all,1,0.0592947014,,0.0088605352,0.0161616162,0.0342725501,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-all_1.pkl
progressive_top,tedlium,test,1,9em5,freeze-subsampling,1,0.0594364700,,0.0086833245,0.0167641326,0.0339890129,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling_1.pkl
progressive_top,tedlium,test,1,9em5,freeze-subsampling-through-layer-0,1,0.0596136807,,0.0082580188,0.0168350168,0.0345206450,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-0_1.pkl
progressive_top,tedlium,test,1,9em5,freeze-subsampling-through-layer-2,1,0.0600389864,,0.0091086302,0.0163033847,0.0346269715,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-2_1.pkl
layer_type,tedlium,test,1,9em5,train-convolution-only,1,0.0603225235,,0.0078681552,0.0178982811,0.0345560872,28215,1/1,layer_type/tedlium-test-epoch-1-lr-9em5-train-convolution-only_1.pkl
progressive_top,tedlium,test,1,9em5,freeze-subsampling-through-layer-3,1,0.0605706185,,0.0090377459,0.0163388269,0.0351940457,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-3_1.pkl
progressive_top,tedlium,test,1,9em5,freeze-subsampling-through-layer-4,1,0.0606769449,,0.0095693780,0.0159135212,0.0351940457,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-4_1.pkl
layer_type,tedlium,test,1,9em5,train-feed-forward-only,1,0.0612440191,,0.0076909445,0.0186071239,0.0349459507,28215,1/1,layer_type/tedlium-test-epoch-1-lr-9em5-train-feed-forward-only_1.pkl
train_only,tedlium,test,1,9em5,train-layer-5-only,1,0.0613503456,,0.0079035974,0.0178628389,0.0355839093,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-layer-5-only_1.pkl
train_only,tedlium,test,1,9em5,train-layer-1-only,1,0.0614212298,,0.0075491760,0.0190324296,0.0348396243,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-layer-1-only_1.pkl
layer_type,tedlium,test,1,9em5,train-attention-only,1,0.0615275563,,0.0076555024,0.0186780082,0.0351940457,28215,1/1,layer_type/tedlium-test-epoch-1-lr-9em5-train-attention-only_1.pkl
train_only,tedlium,test,1,9em5,train-layer-2-only,1,0.0615275563,,0.0077263867,0.0188552189,0.0349459507,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-layer-2-only_1.pkl
train_only,tedlium,test,1,9em5,train-layer-3-only,1,0.0615984405,,0.0076909445,0.0191741981,0.0347332979,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-layer-3-only_1.pkl
train_only,tedlium,test,1,9em5,train-layer-4-only,1,0.0615984405,,0.0080099238,0.0191033138,0.0344852029,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-layer-4-only_1.pkl
train_only,tedlium,test,1,9em5,train-layer-0-only,1,0.0620591884,,0.0073010810,0.0194222931,0.0353358143,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-layer-0-only_1.pkl
train_only,tedlium,test,1,9em5,train-subsampling-only,1,0.0633351054,,0.0079744817,0.0199539252,0.0354066986,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-subsampling-only_1.pkl
train_only,tedlium,test,1,9em5,train-ctc-decoder-only,1,0.0662059188,,0.0149211412,0.0135743399,0.0377104377,28215,1/1,train_only/tedlium-test-epoch-1-lr-9em5-train-ctc-decoder-only_1.pkl
progressive_top,tedlium,test,1,9em5,freeze-subsampling-through-layer-5,1,0.0665248981,,0.0151692362,0.0132908028,0.0380648591,28215,1/1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-5_1.pkl
train_only,earnings22,test,1,9em5,train-all,1,0.1575271123,,0.0247533852,0.0365173703,0.0962563568,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-all_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-layer-2,1,0.1587933746,,0.0238751710,0.0380287156,0.0968894880,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-2_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-subsampling,1,0.1588546453,,0.0259583767,0.0365377938,0.0963584748,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-subsampling_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-layer-3,1,0.1588750689,,0.0259175296,0.0359659335,0.0969916059,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-3_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-layer-5,1,0.1590997284,,0.0260604947,0.0349039070,0.0981353267,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-5_1.pkl
progressive_top,earnings22,test,1,9em5,train-all,1,0.1592222699,,0.0248146560,0.0371096542,0.0972979597,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-train-all_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-layer-4,1,0.1593448114,,0.0244674550,0.0378040561,0.0970733002,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-4_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-none,1,0.1596103180,,0.0244878786,0.0386005759,0.0965218634,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-none_1.pkl
progressive_top,earnings22,test,1,9em5,freeze-subsampling-through-layer-0,1,0.1597328595,,0.0253048220,0.0360476278,0.0983804097,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-0_1.pkl
progressive_top,earnings22,test,1,9em5,freeze-subsampling,1,0.1598962482,,0.0249780446,0.0371096542,0.0978085493,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-freeze-subsampling_1.pkl
layer_type,earnings22,test,1,9em4,train-convolution-only,1,0.1601004840,,0.0236096644,0.0382533750,0.0982374446,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em4-train-convolution-only_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-layer-0,1,0.1602026020,,0.0235688173,0.0393154014,0.0973183833,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-0_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-layer-1,1,0.1602638727,,0.0256928701,0.0372321957,0.0973388069,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-1_1.pkl
progressive_top,earnings22,test,1,9em5,freeze-subsampling-through-layer-1,1,0.1611216633,,0.0259379531,0.0367420297,0.0984416805,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-1_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em5,drop-ctc-decoder,1,0.1611420869,,0.0228744154,0.0393154014,0.0989522701,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-ctc-decoder_1.pkl
layer_type,earnings22,test,1,9em4,train-feed-forward-only,1,0.1615301350,,0.0199742663,0.0442374854,0.0973183833,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em4-train-feed-forward-only_1.pkl
progressive_top,earnings22,test,1,9em5,freeze-subsampling-through-layer-2,1,0.1644507077,,0.0255090579,0.0373955844,0.1015460654,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-2_1.pkl
layer_type,earnings22,test,1,9em5,train-feed-forward-only,1,0.1648591794,,0.0232828871,0.0405203929,0.1010558994,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em5-train-feed-forward-only_1.pkl
train_only,earnings22,test,1,9em6,train-all,1,0.1657169700,,0.0264485428,0.0364969467,0.1027714805,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-all_1.pkl
progressive_top,earnings22,test,1,9em6,train-all,1,0.1667177256,,0.0265098135,0.0367624533,0.1034454588,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-train-all_1.pkl
progressive_top,earnings22,test,1,9em6,freeze-subsampling,1,0.1668811143,,0.0262238833,0.0365173703,0.1041398607,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-freeze-subsampling_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-subsampling,1,0.1669423851,,0.0270816739,0.0371913486,0.1026693626,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-subsampling_1.pkl
layer_type,earnings22,test,1,9em4,train-attention-only,1,0.1670240794,,0.0231603456,0.0413986071,0.1024651267,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em4-train-attention-only_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-subsampling,1,0.1671670445,,0.0267753201,0.0361701693,0.1042215551,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-subsampling_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-layer-3,1,0.1673917039,,0.0271429447,0.0359046627,0.1043440966,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-layer-3_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-none,1,0.1673917039,,0.0268978617,0.0372730429,0.1032207994,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-none_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-layer-0,1,0.1674529747,,0.0267957437,0.0367216061,0.1039356249,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-layer-0_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-layer-2,1,0.1675142455,,0.0267140494,0.0366603354,0.1041398607,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-layer-2_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-layer-1,1,0.1675959398,,0.0272450626,0.0363335580,0.1040173192,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-layer-1_1.pkl
progressive_top,earnings22,test,1,9em6,freeze-subsampling-through-layer-0,1,0.1677593285,,0.0266119315,0.0362314401,0.1049159569,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-freeze-subsampling-through-layer-0_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-layer-5,1,0.1684537304,,0.0283887834,0.0354144967,0.1046504503,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-layer-5_1.pkl
progressive_top,earnings22,test,1,9em5,freeze-subsampling-through-layer-3,1,0.1684537304,,0.0279803117,0.0360272042,0.1044462145,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-3_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-ctc-decoder,1,0.1686171190,,0.0252027041,0.0389682005,0.1044462145,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-ctc-decoder_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-layer-5,1,0.1686579662,,0.0268570145,0.0377836325,0.1040173192,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-layer-5_1.pkl
layer_type,earnings22,test,1,9em5,train-convolution-only,1,0.1686988134,,0.0255703286,0.0392132835,0.1039152013,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em5-train-convolution-only_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em6,drop-layer-4,1,0.1690460143,,0.0276943815,0.0363335580,0.1050180749,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em6-drop-layer-4_1.pkl
train_only,earnings22,test,1,9em4,train-layer-4-only,1,0.1696382983,,0.0233850050,0.0407450524,0.1055082409,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-layer-4-only_1.pkl
progressive_top,earnings22,test,1,9em6,freeze-subsampling-through-layer-1,1,0.1698221106,,0.0288381022,0.0353532259,0.1056307824,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-freeze-subsampling-through-layer-1_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-layer-3,1,0.1700467700,,0.0259583767,0.0396217552,0.1044666381,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-layer-3_1.pkl
progressive_top,earnings22,test,1,9em4,freeze-subsampling-through-layer-1,1,0.1701080408,,0.0267753201,0.0386822703,0.1046504503,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-freeze-subsampling-through-layer-1_1.pkl
layer_type,earnings22,test,1,9em5,train-attention-only,1,0.1703531238,,0.0241202541,0.0408675939,0.1053652758,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em5-train-attention-only_1.pkl
train_only,earnings22,test,1,9em4,train-layer-3-only,1,0.1704552417,,0.0249576211,0.0387435410,0.1067540796,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-layer-3-only_1.pkl
progressive_top,earnings22,test,1,9em4,freeze-subsampling-through-layer-3,1,0.1713538795,,0.0292669975,0.0364356759,0.1056512060,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-freeze-subsampling-through-layer-3_1.pkl
progressive_top,earnings22,test,1,9em4,freeze-subsampling-through-layer-2,1,0.1714151502,,0.0268365909,0.0402344628,0.1043440966,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-freeze-subsampling-through-layer-2_1.pkl
progressive_top,earnings22,test,1,9em4,freeze-subsampling-through-layer-4,1,0.1714355738,,0.0297775872,0.0361088986,0.1055490881,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-freeze-subsampling-through-layer-4_1.pkl
progressive_top,earnings22,test,1,9em4,freeze-subsampling-through-layer-0,1,0.1715172681,,0.0282458183,0.0374977023,0.1057737475,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-freeze-subsampling-through-layer-0_1.pkl
progressive_top,earnings22,test,1,9em4,freeze-subsampling,1,0.1715376917,,0.0263464249,0.0394787901,0.1057124768,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-freeze-subsampling_1.pkl
train_only,earnings22,test,1,9em4,train-all,1,0.1719053163,,0.0272859098,0.0365377938,0.1080816126,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-all_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-layer-4,1,0.1719257398,,0.0251210097,0.0411943713,0.1056103588,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-layer-4_1.pkl
